epoch,split,class_id,class_name,dice,valid,excluded
1,train,0,Unknown,0.8143911508978825,0,1
1,train,1,class_1,0.0,0,1
1,train,2,Left-Cerebral-White-Matter,0.22093780394894305,1,0
1,train,3,Left-Cerebral-Cortex,2.8494683145111503e-05,1,0
1,train,4,Left-Lateral-Ventricle,0.0,1,0
1,train,5,Left-Inf-Lat-Vent,0.00025633242267780927,1,0
1,train,6,class_6,0.0,0,1
1,train,7,Left-Cerebellum-White-Matter,0.0,1,0
1,train,8,Left-Cerebellum-Cortex,0.0,1,0
1,train,9,class_9,0.0,0,1
1,train,10,Left-Thalamus,0.0,1,0
1,train,11,Left-Caudate,0.0,1,0
1,train,12,Left-Putamen,0.0,1,0
1,train,13,Left-Pallidum,0.0,1,0
1,train,14,3rd-Ventricle,0.0,1,0
1,train,15,4th-Ventricle,0.0,1,0
1,train,16,Brain-Stem,0.0,1,0
1,train,17,Left-Hippocampus,0.0,1,0
1,train,18,Left-Amygdala,0.0,1,0
1,train,19,class_19,0.0,0,1
1,train,20,class_20,0.0,0,1
1,train,21,class_21,0.0,0,1
1,train,22,class_22,0.0,0,1
1,train,23,class_23,0.0,0,1
1,train,24,CSF,6.704309890911949e-05,1,0
1,train,25,class_25,0.0,0,1
1,train,26,Left-Accumbens-area,0.0,1,0
1,train,27,class_27,0.0,0,1
1,train,28,Left-VentralDC,0.0005864522820524047,1,0
1,train,29,class_29,0.0,0,1
1,train,30,class_30,0.0,0,1
1,train,31,class_31,0.0,0,1
1,train,32,class_32,0.0,0,1
1,train,33,class_33,0.0,0,1
1,train,34,class_34,0.0,0,1
1,train,35,class_35,0.0,0,1
1,train,36,class_36,0.0,0,1
1,train,37,class_37,0.0,0,1
1,train,38,class_38,0.0,0,1
1,train,39,class_39,0.0,0,1
1,train,40,class_40,0.0,0,1
1,train,41,Right-Cerebral-White-Matter,0.16183688370198365,1,0
1,train,42,Right-Cerebral-Cortex,0.05914767875034849,1,0
1,train,43,Right-Lateral-Ventricle,0.0,1,0
1,train,44,Right-Inf-Lat-Vent,0.0,1,0
1,train,45,class_45,0.0,0,1
1,train,46,Right-Cerebellum-White-Matter,0.0,1,0
1,train,47,Right-Cerebellum-Cortex,0.0003652121286199862,1,0
1,train,48,class_48,0.0,0,1
1,train,49,Right-Thalamus,0.0,1,0
1,train,50,Right-Caudate,0.0,1,0
1,train,51,Right-Putamen,0.0,1,0
1,train,52,Right-Pallidum,0.0,1,0
1,train,53,Right-Hippocampus,0.0,1,0
1,train,54,Right-Amygdala,0.0002210026151965956,1,0
1,train,55,class_55,0.0,0,1
1,train,56,class_56,0.0,0,1
1,train,57,class_57,0.0,0,1
1,train,58,Right-Accumbens-area,0.0,1,0
1,train,59,class_59,0.0,0,1
1,train,60,Right-VentralDC,0.0,1,0
1,train,61,class_61,0.0,0,1
1,train,62,class_62,0.0,0,1
1,train,63,class_63,0.0,0,1
1,train,64,class_64,0.0,0,1
1,train,65,class_65,0.0,0,1
1,train,66,class_66,0.0,0,1
1,train,67,class_67,0.0,0,1
1,train,68,class_68,0.0,0,1
1,train,69,class_69,0.0,0,1
1,train,70,class_70,0.0,0,1
1,train,71,class_71,0.0,0,1
1,train,72,class_72,0.0,0,1
1,train,73,class_73,0.0,0,1
1,train,74,class_74,0.0,0,1
1,train,75,class_75,0.0,0,1
1,train,76,class_76,0.0,0,1
1,train,77,class_77,0.0,0,1
1,train,78,class_78,0.0,0,1
1,train,79,class_79,0.0,0,1
1,train,80,class_80,0.0,0,1
1,train,81,class_81,0.0,0,1
1,train,82,class_82,0.0,0,1
1,train,83,class_83,0.0,0,1
1,train,84,class_84,0.0,0,1
1,train,85,class_85,0.0,0,1
1,train,86,class_86,0.0,0,1
1,train,87,class_87,0.0,0,1
1,train,88,class_88,0.0,0,1
1,train,89,class_89,0.0,0,1
1,train,90,class_90,0.0,0,1
1,train,91,class_91,0.0,0,1
1,train,92,class_92,0.0,0,1
1,train,93,class_93,0.0,0,1
1,train,94,class_94,0.0,0,1
1,train,95,class_95,0.0,0,1
1,train,96,class_96,0.0,0,1
1,train,97,class_97,0.0,0,1
1,train,98,class_98,0.0,0,1
1,train,99,class_99,0.0,0,1
1,train,100,Non-Brain-1,0.002045135045994184,1,0
1,train,101,Non-Brain-2,0.22122796396026084,1,0
1,train,102,Non-Brain-3,0.17990464315795068,1,0
1,train,103,Non-Brain-4,0.05279377314080169,1,0
1,train,104,Non-Brain-5,0.0,1,0
1,train,105,Non-Brain-6,0.0,1,0
1,eval,0,Unknown,0.9551932643762082,0,1
1,eval,1,class_1,0.0,0,1
1,eval,2,Left-Cerebral-White-Matter,0.5548805313166639,1,0
1,eval,3,Left-Cerebral-Cortex,0.001721795859030249,1,0
1,eval,4,Left-Lateral-Ventricle,0.0,1,0
1,eval,5,Left-Inf-Lat-Vent,0.0,1,0
1,eval,6,class_6,0.0,0,1
1,eval,7,Left-Cerebellum-White-Matter,0.0,1,0
1,eval,8,Left-Cerebellum-Cortex,0.0,1,0
1,eval,9,class_9,0.0,0,1
1,eval,10,Left-Thalamus,0.0,1,0
1,eval,11,Left-Caudate,0.0,1,0
1,eval,12,Left-Putamen,0.0,1,0
1,eval,13,Left-Pallidum,0.0,1,0
1,eval,14,3rd-Ventricle,0.0,1,0
1,eval,15,4th-Ventricle,0.0,1,0
1,eval,16,Brain-Stem,0.0,1,0
1,eval,17,Left-Hippocampus,0.0,1,0
1,eval,18,Left-Amygdala,0.0,1,0
1,eval,19,class_19,0.0,0,1
1,eval,20,class_20,0.0,0,1
1,eval,21,class_21,0.0,0,1
1,eval,22,class_22,0.0,0,1
1,eval,23,class_23,0.0,0,1
1,eval,24,CSF,0.001349571657686855,1,0
1,eval,25,class_25,0.0,0,1
1,eval,26,Left-Accumbens-area,0.0,1,0
1,eval,27,class_27,0.0,0,1
1,eval,28,Left-VentralDC,0.0,1,0
1,eval,29,class_29,0.0,0,1
1,eval,30,class_30,0.0,0,1
1,eval,31,class_31,0.0,0,1
1,eval,32,class_32,0.0,0,1
1,eval,33,class_33,0.0,0,1
1,eval,34,class_34,0.0,0,1
1,eval,35,class_35,0.0,0,1
1,eval,36,class_36,0.0,0,1
1,eval,37,class_37,0.0,0,1
1,eval,38,class_38,0.0,0,1
1,eval,39,class_39,0.0,0,1
1,eval,40,class_40,0.0,0,1
1,eval,41,Right-Cerebral-White-Matter,0.5799849236959581,1,0
1,eval,42,Right-Cerebral-Cortex,0.20457553505376383,1,0
1,eval,43,Right-Lateral-Ventricle,0.0,1,0
1,eval,44,Right-Inf-Lat-Vent,0.0,1,0
1,eval,45,class_45,0.0,0,1
1,eval,46,Right-Cerebellum-White-Matter,0.0,1,0
1,eval,47,Right-Cerebellum-Cortex,0.0,1,0
1,eval,48,class_48,0.0,0,1
1,eval,49,Right-Thalamus,0.0,1,0
1,eval,50,Right-Caudate,0.0,1,0
1,eval,51,Right-Putamen,0.0,1,0
1,eval,52,Right-Pallidum,0.0,1,0
1,eval,53,Right-Hippocampus,0.0,1,0
1,eval,54,Right-Amygdala,0.0,1,0
1,eval,55,class_55,0.0,0,1
1,eval,56,class_56,0.0,0,1
1,eval,57,class_57,0.0,0,1
1,eval,58,Right-Accumbens-area,0.0,1,0
1,eval,59,class_59,0.0,0,1
1,eval,60,Right-VentralDC,0.0,1,0
1,eval,61,class_61,0.0,0,1
1,eval,62,class_62,0.0,0,1
1,eval,63,class_63,0.0,0,1
1,eval,64,class_64,0.0,0,1
1,eval,65,class_65,0.0,0,1
1,eval,66,class_66,0.0,0,1
1,eval,67,class_67,0.0,0,1
1,eval,68,class_68,0.0,0,1
1,eval,69,class_69,0.0,0,1
1,eval,70,class_70,0.0,0,1
1,eval,71,class_71,0.0,0,1
1,eval,72,class_72,0.0,0,1
1,eval,73,class_73,0.0,0,1
1,eval,74,class_74,0.0,0,1
1,eval,75,class_75,0.0,0,1
1,eval,76,class_76,0.0,0,1
1,eval,77,class_77,0.0,0,1
1,eval,78,class_78,0.0,0,1
1,eval,79,class_79,0.0,0,1
1,eval,80,class_80,0.0,0,1
1,eval,81,class_81,0.0,0,1
1,eval,82,class_82,0.0,0,1
1,eval,83,class_83,0.0,0,1
1,eval,84,class_84,0.0,0,1
1,eval,85,class_85,0.0,0,1
1,eval,86,class_86,0.0,0,1
1,eval,87,class_87,0.0,0,1
1,eval,88,class_88,0.0,0,1
1,eval,89,class_89,0.0,0,1
1,eval,90,class_90,0.0,0,1
1,eval,91,class_91,0.0,0,1
1,eval,92,class_92,0.0,0,1
1,eval,93,class_93,0.0,0,1
1,eval,94,class_94,0.0,0,1
1,eval,95,class_95,0.0,0,1
1,eval,96,class_96,0.0,0,1
1,eval,97,class_97,0.0,0,1
1,eval,98,class_98,0.0,0,1
1,eval,99,class_99,0.0,0,1
1,eval,100,Non-Brain-1,0.06915636252640474,1,0
1,eval,101,Non-Brain-2,0.33470751374935925,1,0
1,eval,102,Non-Brain-3,0.37282950760026395,1,0
1,eval,103,Non-Brain-4,0.17474832104133808,1,0
1,eval,104,Non-Brain-5,0.0,1,0
1,eval,105,Non-Brain-6,0.0,1,0
2,train,0,Unknown,0.948037845189562,0,1
2,train,1,class_1,0.0,0,1
2,train,2,Left-Cerebral-White-Matter,0.6203099060613605,1,0
2,train,3,Left-Cerebral-Cortex,0.32552525659155945,1,0
2,train,4,Left-Lateral-Ventricle,0.0,1,0
2,train,5,Left-Inf-Lat-Vent,0.0,1,0
2,train,6,class_6,0.0,0,1
2,train,7,Left-Cerebellum-White-Matter,9.558310473025558e-06,1,0
2,train,8,Left-Cerebellum-Cortex,0.005555587993152909,1,0
2,train,9,class_9,0.0,0,1
2,train,10,Left-Thalamus,0.0,1,0
2,train,11,Left-Caudate,0.0,1,0
2,train,12,Left-Putamen,0.0,1,0
2,train,13,Left-Pallidum,0.0,1,0
2,train,14,3rd-Ventricle,0.0,1,0
2,train,15,4th-Ventricle,0.0,1,0
2,train,16,Brain-Stem,0.0,1,0
2,train,17,Left-Hippocampus,0.0,1,0
2,train,18,Left-Amygdala,0.0,1,0
2,train,19,class_19,0.0,0,1
2,train,20,class_20,0.0,0,1
2,train,21,class_21,0.0,0,1
2,train,22,class_22,0.0,0,1
